"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"1",0,"Jacarand","06/05/2011 14:49","Medio (4 - 8 mts)",60,"Mediano",-68.8404148439,-32.8747311819,1,"Parque Central",1655357.93265,0,"Bajo"
"2",5,"Morera","02/03/2012 13:23","Medio (4 - 8 mts)",70,"Grande",-68.8574080472,-32.8958575989,5,"Residencial Sur",2423808.92355,0,"Bajo"
"3",7,"Morera","02/03/2012 13:19","Medio (4 - 8 mts)",110,"Grande",-68.8572981214,-32.8958308493,5,"Residencial Sur",2423808.92355,0,"Bajo"
"4",8,"Morera","02/03/2012 13:13","Medio (4 - 8 mts)",54,"Mediano",-68.8572185354,-32.895838834,5,"Residencial Sur",2423808.92355,0,"Bajo"
"5",10,"Morera","02/03/2012 13:10","Medio (4 - 8 mts)",100,"Grande",-68.8570828523,-32.8958536317,5,"Residencial Sur",2423808.92355,0,"Bajo"
"6",11,"Morera","02/03/2012 13:09","Medio (4 - 8 mts)",110,"Grande",-68.8570150632,-32.8958572818,5,"Residencial Sur",2423808.92355,0,"Bajo"
"7",12,"Morera","02/03/2012 13:07","Medio (4 - 8 mts)",100,"Grande",-68.8569486959,-32.8958654194,5,"Residencial Sur",2423808.92355,0,"Bajo"
"8",15,"Morera","02/03/2012 13:04","Bajo (2 - 4 mts)",56,"Mediano",-68.8567599137,-32.8958801479,5,"Residencial Sur",2423808.92355,1,"Bajo"
"9",19,"Fresno americano","02/03/2012 12:56","Bajo (2 - 4 mts)",34,"Mediano",-68.8565423331,-32.8958979197,5,"Residencial Sur",2423808.92355,0,"Bajo"
"10",20,"Fresno europeo","02/03/2012 12:55","Bajo (2 - 4 mts)",36,"Mediano",-68.8564561132,-32.8959077601,5,"Residencial Sur",2423808.92355,0,"Bajo"
"11",21,"Fresno europeo","02/03/2012 12:54","Bajo (2 - 4 mts)",40,"Mediano",-68.8563617906,-32.8959157273,5,"Residencial Sur",2423808.92355,0,"Bajo"
"12",24,"Fresno europeo","02/03/2012 12:51","Bajo (2 - 4 mts)",44,"Mediano",-68.8560821871,-32.8959409192,5,"Residencial Sur",2423808.92355,0,"Bajo"
"13",26,"Morera","01/03/2012 13:42","Medio (4 - 8 mts)",190,"Grande",-68.8559333348,-32.8959537934,5,"Residencial Sur",2423808.92355,0,"Medio"
"14",27,"Jacarand","01/03/2012 13:41","Bajo (2 - 4 mts)",18,"Chico",-68.8558670144,-32.8959593075,5,"Residencial Sur",2423808.92355,0,"Bajo"
"15",29,"Fresno europeo","01/03/2012 13:38","Bajo (2 - 4 mts)",70,"Grande",-68.8557244552,-32.8959760507,5,"Residencial Sur",2423808.92355,0,"Bajo"
"16",32,"Fresno europeo","01/03/2012 13:34","Medio (4 - 8 mts)",50,"Mediano",-68.8554957289,-32.8960635292,5,"Residencial Sur",2423808.92355,0,"Bajo"
"17",33,"Morera","01/03/2012 13:29","Medio (4 - 8 mts)",130,"Grande",-68.8554978524,-32.896116955,5,"Residencial Sur",2423808.92355,0,"Medio"
"18",36,"Morera","01/03/2012 13:22","Medio (4 - 8 mts)",180,"Grande",-68.8555115869,-32.8962997301,5,"Residencial Sur",2423808.92355,0,"Medio"
"19",37,"Morera","01/03/2012 13:21","Bajo (2 - 4 mts)",40,"Mediano",-68.8555173886,-32.89637069,5,"Residencial Sur",2423808.92355,0,"Bajo"
"20",38,"Fresno europeo","01/03/2012 13:19","Bajo (2 - 4 mts)",54,"Mediano",-68.8555195434,-32.8964048593,5,"Residencial Sur",2423808.92355,0,"Bajo"
"21",40,"Fresno europeo","01/03/2012 12:46","Medio (4 - 8 mts)",140,"Grande",-68.8555275959,-32.8965286068,5,"Residencial Sur",2423808.92355,0,"Medio"
"22",41,"Fresno europeo","01/03/2012 12:45","Bajo (2 - 4 mts)",38,"Mediano",-68.8555333966,-32.8965863857,5,"Residencial Sur",2423808.92355,0,"Bajo"
"23",42,"Jacarand","01/03/2012 12:43","Medio (4 - 8 mts)",40,"Mediano",-68.8555384332,-32.8966506469,5,"Residencial Sur",2423808.92355,0,"Bajo"
"24",43,"Olmo bola","01/03/2012 12:42","Medio (4 - 8 mts)",160,"Grande",-68.8555456877,-32.8967214732,5,"Residencial Sur",2423808.92355,0,"Medio"
"25",45,"Fresno americano","01/03/2012 12:39","Medio (4 - 8 mts)",70,"Grande",-68.8555550606,-32.8968475873,5,"Residencial Sur",2423808.92355,0,"Bajo"
"26",46,"Fresno europeo","01/03/2012 12:38","Bajo (2 - 4 mts)",16,"Chico",-68.8556066986,-32.8968926954,5,"Residencial Sur",2423808.92355,0,"Bajo"
"27",47,"Morera","01/03/2012 08:23","Medio (4 - 8 mts)",150,"Grande",-68.8557135396,-32.8968884698,5,"Residencial Sur",2423808.92355,0,"Medio"
"28",50,"Fresno europeo","01/03/2012 08:19","Medio (4 - 8 mts)",160,"Grande",-68.8559959252,-32.8968869126,5,"Residencial Sur",2423808.92355,0,"Medio"
"29",54,"Morera","01/03/2012 08:13","Medio (4 - 8 mts)",180,"Grande",-68.8563977544,-32.8968842892,5,"Residencial Sur",2423808.92355,0,"Medio"
"30",55,"Morera","01/03/2012 08:12","Medio (4 - 8 mts)",120,"Grande",-68.8564928055,-32.8968819132,5,"Residencial Sur",2423808.92355,0,"Bajo"
"31",56,"Fresno americano","29/02/2012 11:12","Bajo (2 - 4 mts)",22,"Mediano",-68.8565517502,-32.8968807383,5,"Residencial Sur",2423808.92355,0,"Bajo"
"32",57,"Jacarand","29/02/2012 11:10","Medio (4 - 8 mts)",60,"Mediano",-68.8566003809,-32.8968795525,5,"Residencial Sur",2423808.92355,0,"Bajo"
"33",58,"Morera","05/03/2012 10:56","Medio (4 - 8 mts)",110,"Grande",-68.8566897621,-32.8968080147,5,"Residencial Sur",2423808.92355,0,"Bajo"
"34",59,"Morera","05/03/2012 10:55","Medio (4 - 8 mts)",110,"Grande",-68.8566854205,-32.8967589352,5,"Residencial Sur",2423808.92355,0,"Bajo"
"35",63,"Fresno europeo","05/03/2012 10:40","Bajo (2 - 4 mts)",22,"Mediano",-68.8566640973,-32.8965521495,5,"Residencial Sur",2423808.92355,0,"Bajo"
"36",65,"Fresno europeo","05/03/2012 10:38","Bajo (2 - 4 mts)",60,"Mediano",-68.8566745934,-32.8964536752,5,"Residencial Sur",2423808.92355,0,"Bajo"
"37",67,"Olmo comun","05/03/2012 10:35","Medio (4 - 8 mts)",110,"Grande",-68.8567741669,-32.8963498613,5,"Residencial Sur",2423808.92355,0,"Bajo"
"38",70,"Fresno europeo","02/03/2012 13:46","Bajo (2 - 4 mts)",20,"Chico",-68.8569471413,-32.896200889,5,"Residencial Sur",2423808.92355,0,"Bajo"
"39",71,"Conifera","02/03/2012 13:45","Medio (4 - 8 mts)",80,"Grande",-68.8570000164,-32.8961607332,5,"Residencial Sur",2423808.92355,0,"Bajo"
"40",74,"Fresno americano","02/03/2012 13:40","Bajo (2 - 4 mts)",24,"Mediano",-68.857099465,-32.8961049763,5,"Residencial Sur",2423808.92355,0,"Bajo"
"41",75,"Fresno europeo","02/03/2012 13:38","Bajo (2 - 4 mts)",38,"Mediano",-68.8571470338,-32.8960945728,5,"Residencial Sur",2423808.92355,0,"Bajo"
"42",76,"Fresno europeo","02/03/2012 13:36","Bajo (2 - 4 mts)",14,"Chico",-68.8571997744,-32.8960815595,5,"Residencial Sur",2423808.92355,0,"Bajo"
"43",77,"Fresno europeo","02/03/2012 13:33","Bajo (2 - 4 mts)",30,"Mediano",-68.8572680225,-32.8960676918,5,"Residencial Sur",2423808.92355,0,"Bajo"
"44",78,"Fresno americano","02/03/2012 13:31","Bajo (2 - 4 mts)",20,"Chico",-68.8573362717,-32.8960538251,5,"Residencial Sur",2423808.92355,0,"Bajo"
"45",79,"Fresno europeo","02/03/2012 13:28","Bajo (2 - 4 mts)",28,"Mediano",-68.8573962494,-32.8960399488,5,"Residencial Sur",2423808.92355,0,"Bajo"
"46",80,"Fresno europeo","29/02/2012 11:08","Bajo (2 - 4 mts)",32,"Mediano",-68.8569717785,-32.9018553116,5,"Residencial Sur",2423808.92355,0,"Bajo"
"47",81,"Fresno americano","29/02/2012 11:07","Bajo (2 - 4 mts)",36,"Mediano",-68.8569036408,-32.9018688672,5,"Residencial Sur",2423808.92355,0,"Bajo"
"48",84,"Fresno americano","29/02/2012 11:01","Bajo (2 - 4 mts)",24,"Mediano",-68.8566761685,-32.9018764604,5,"Residencial Sur",2423808.92355,0,"Bajo"
"49",85,"Fresno europeo","29/02/2012 10:56","Bajo (2 - 4 mts)",36,"Mediano",-68.85658883,-32.9018751105,5,"Residencial Sur",2423808.92355,0,"Bajo"
"50",87,"Acer","29/02/2012 10:53","Bajo (2 - 4 mts)",50,"Mediano",-68.8564294551,-32.9018902112,5,"Residencial Sur",2423808.92355,0,"Bajo"
"51",88,"Morera","29/02/2012 10:52","Bajo (2 - 4 mts)",50,"Mediano",-68.8563808316,-32.9019005023,5,"Residencial Sur",2423808.92355,0,"Bajo"
"52",89,"Fresno europeo","29/02/2012 10:50","Bajo (2 - 4 mts)",40,"Mediano",-68.8562723706,-32.9019206477,5,"Residencial Sur",2423808.92355,0,"Bajo"
"53",90,"Fresno europeo","29/02/2012 10:49","Bajo (2 - 4 mts)",30,"Mediano",-68.8562086466,-32.9019325551,5,"Residencial Sur",2423808.92355,0,"Bajo"
"54",93,"Morera","29/02/2012 10:46","Medio (4 - 8 mts)",140,"Grande",-68.8559831011,-32.9019032972,5,"Residencial Sur",2423808.92355,0,"Medio"
"55",94,"Morera","29/02/2012 10:41","Bajo (2 - 4 mts)",40,"Mediano",-68.8559767703,-32.9018780886,5,"Residencial Sur",2423808.92355,0,"Bajo"
"56",96,"Fresno europeo","29/02/2012 10:38","Bajo (2 - 4 mts)",36,"Mediano",-68.8559749632,-32.9017834767,5,"Residencial Sur",2423808.92355,0,"Bajo"
"57",97,"Pltano","29/02/2012 10:36","Medio (4 - 8 mts)",180,"Grande",-68.8560408923,-32.9017272402,5,"Residencial Sur",2423808.92355,0,"Medio"
"58",99,"Pltano","29/02/2012 10:32","Bajo (2 - 4 mts)",160,"Grande",-68.8562045722,-32.9017241239,5,"Residencial Sur",2423808.92355,0,"Medio"
"59",100,"Pltano","29/02/2012 10:31","Bajo (2 - 4 mts)",164,"Grande",-68.8562884675,-32.901722976,5,"Residencial Sur",2423808.92355,0,"Medio"
